Region,MainSourceofIncome,AgriculturalHouseholdindicator,ImputedHouseRentalValue,HouseholdHeadSex,HouseholdHeadAge,HouseholdHeadMaritalStatus,HouseholdHeadHighestGradeCompleted,HouseholdHeadJoborBusinessIndicator,HouseholdHeadOccupation,HouseholdHeadClassofWorker,TypeofHousehold,TotalNumberofFamilymembers,Memberswithagelessthan5yearold,Memberswithage517yearsold,Totalnumberoffamilymembersemployed,Electricity,MainSourceofWaterSupply,TotalMovableAssests,Dependants,HouseSpacePerPerson,MovableMerchPerPerson,TotalNecessaryExpenditure,TotalUnnecessaryExpenditure,CurrentTaxPaid,PredNecessaryExp,PredUnnecessaryExp,AdjustedTax
5,2,0,78000,1,58,2,0,1,5,3,0,6,0,0,4,1,3,17,2,20.0,2.8333333333333335,180893,194909,233623.0,124490.97869300669,178275.55371290445,334556.52869254485
6,2,0,39000,1,53,2,21,1,149,4,1,4,0,0,2,1,7,4,2,10.0,1.0,93955,61134,5370.0,75847.20110420168,59633.38319848566,4222.05780983167
13,2,0,36000,1,58,2,0,1,132,1,1,3,0,0,2,1,3,7,1,16.666666666666668,2.3333333333333335,60850,105112,70051.25,77933.09323491994,86789.06798433304,78011.56666925868
9,2,2,30000,0,48,1,21,1,67,4,0,8,1,2,3,1,3,7,5,4.5,0.875,82917,105378,36939.75,106900.68020575048,94215.70506763902,32556.43074088787
5,1,0,18000,1,68,2,11,1,124,0,1,4,0,0,0,1,7,6,4,20.0,1.5,78349,45086,34017.75,83024.13349197028,45257.051542540736,18543.319880118503
15,2,0,36000,1,50,2,38,1,260,3,1,4,0,2,1,1,3,10,3,11.25,2.5,123682,128280,93325.0,95569.45580013981,99193.1434366625,96863.58506200666
15,1,0,42000,1,63,2,21,1,131,0,1,3,0,1,0,1,3,14,3,30.0,4.666666666666667,59413,30558,23467.0,94497.53254968923,105925.15328801202,26304.872784934454
14,1,0,45000,0,39,2,4,0,359,2,1,3,0,2,0,1,3,13,3,18.0,4.333333333333333,57697,56576,39744.75,83193.10397389824,100025.72105027661,47786.37996197726
15,1,0,63000,1,82,2,0,0,359,2,1,2,0,0,0,1,3,8,2,45.0,4.0,51741,142572,43795.0,71355.72706439998,56028.7439326536,34387.9733481796
9,2,2,108000,1,54,3,7,1,51,4,0,4,0,0,2,1,3,8,2,25.0,2.0,73988,177804,80009.0,81023.09275042298,112331.02822748006,110925.0823729576
9,1,2,108000,1,63,2,6,0,359,2,0,7,0,2,1,1,3,21,6,14.285714285714286,3.0,105549,87210,138041.2,142798.47255340667,180058.68874464981,174060.10736873944
2,1,0,48000,1,62,2,21,1,29,5,0,6,0,3,1,1,3,12,5,25.0,2.0,106122,50821,39422.5,111074.53686319914,93605.23641846783,33222.3076226002
13,1,0,15000,1,62,5,21,1,158,1,0,4,0,3,0,1,3,8,4,25.0,2.0,112817,63748,12256.0,90232.10362752371,65152.64140375718,8849.519638162092
6,2,0,33000,1,58,2,21,1,29,4,0,9,1,2,3,1,3,10,6,3.888888888888889,1.1111111111111112,84663,73412,15851.2,127853.40207217666,102848.59103613574,12751.116198782585
12,2,0,12000,1,43,2,11,1,148,4,1,7,2,3,2,1,7,6,5,7.857142857142857,0.8571428571428571,101895,34457,1380.0,102312.51617697417,65487.709853472996,883.3038515196985
5,2,0,13200,1,48,2,17,1,32,4,0,6,0,0,4,1,4,6,2,6.0,1.0,92858,35913,7661.200000000001,93227.43637735592,87055.19302190223,7153.980316264417
9,2,2,0,0,38,2,20,1,100,4,2,9,0,2,3,1,3,14,6,6.0,1.5555555555555556,101849,174595,166195.0,138973.0507135727,159739.8172588978,191029.54704548145
5,1,0,36000,0,77,3,21,1,126,1,1,2,0,0,0,1,3,5,2,60.0,2.5,57602,35328,593.6,61788.46239688232,41938.58514944687,402.90279413018357
11,0,0,19800,1,35,2,42,1,129,1,1,5,0,3,1,1,8,6,4,8.6,1.2,53163,32404,4689.0,94295.41005256677,48256.76308677349,2399.6498025485976
5,2,0,24000,1,54,2,21,1,277,4,1,7,0,3,3,1,3,8,4,19.285714285714285,1.1428571428571428,78342,78475,33421.75,114765.90239590048,96606.77388488273,28133.508103731107
3,2,0,27000,1,40,2,10,1,204,4,1,5,0,2,2,1,9,9,3,12.6,1.8,80549,52429,27759.800000000003,94207.09796673816,94016.87313416484,27703.746863652108
15,2,1,10800,1,44,2,21,1,103,4,0,8,1,0,4,1,3,6,4,5.625,0.75,126246,77028,18664.600000000002,109950.46849706731,93812.49123620796,15925.103802300131
9,1,2,54000,1,61,2,45,1,292,3,1,3,0,0,2,1,3,10,1,16.666666666666668,3.3333333333333335,37129,60968,19498.8,82539.82206344814,108209.1019958098,25562.78394171949
5,2,0,12000,1,52,2,6,1,103,4,0,9,0,4,4,1,4,5,5,4.444444444444445,0.5555555555555556,106930,40345,16344.400000000001,119193.83843180195,74083.10064612277,10158.610932672384
16,1,0,12000,1,44,2,21,1,128,1,0,14,4,2,4,1,8,4,10,1.0,0.2857142857142857,127443,67561,4532.6,149962.32549898385,50521.70715724851,1527.0147958761568
9,1,2,78000,0,35,2,21,0,359,2,1,6,1,2,0,1,3,10,6,40.0,1.6666666666666667,101710,64204,7706.0,97721.10648064151,95892.71709335614,7561.8185726109
9,1,2,84000,0,46,2,4,1,131,1,1,3,0,2,0,1,3,14,3,66.66666666666667,4.666666666666667,76743,294699,-1406294.4000000001,76856.1428088786,91906.5130826416,-1681682.2956240608
9,2,2,30000,1,42,2,10,1,37,4,1,3,0,0,2,1,3,7,1,8.333333333333334,2.3333333333333335,63940,136095,19410.4,66794.40633244762,96959.4513971777,28176.337491984315
9,1,2,39000,0,48,2,35,1,314,4,1,2,0,0,1,1,3,10,1,22.5,5.0,79827,88259,35259.0,63752.15993978091,99063.68667312477,54788.52060396104
16,2,0,60000,1,58,2,16,1,150,1,1,6,0,0,4,1,8,13,2,14.333333333333334,2.1666666666666665,114410,117944,60058.25,124020.0261830971,144933.55190040905,70185.88659683001
9,2,0,16200,1,38,2,36,1,37,4,1,4,0,1,2,1,5,7,2,3.5,1.75,74494,109024,13454.0,80024.32599742326,81431.2524094553,13690.53792408184
15,1,0,12000,0,70,5,6,1,337,3,1,4,0,2,2,1,8,8,2,5.0,2.0,94016,43766,802.6,94959.2373230331,79091.3882295751,668.4841831354906
12,1,0,12000,0,50,5,22,0,359,2,1,4,0,1,0,1,3,9,4,7.5,2.25,71738,115930,47061.5,84719.447413949,76007.05228094495,42221.78024181422
