CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2013 Score,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,,,,,,,,,,,,,,
35,Colombia,Colombia,South and Central America / Caribbean,37,5,69.6,1.6,50.0,0.0,34.0,-1.0,76.1,0.1,75.2,1.1,90.2,0.8,79.3,-0.4,78.7,0.0,72.2,0.0,70.0,5.0,70.0,10.0,8.9,33.0,33.0,14.4,28.7,Colombia,46.1,$472.0,5.9,4.4,"$10,249 ",10.9,3.4,"$13,234.2",34.7,,,,,,,,,,,,,,,
36,Comoros,Comoros,Sub-Saharan Africa,157,39,47.5,1.8,30.0,0.0,24.0,3.0,64.7,-0.2,82.4,-2.9,44.7,3.2,51.2,20.0,74.6,-3.7,68.8,-0.6,15.0,0.0,20.0,0.0,8.1,30.0,50.0,11.4,24.3,Comoros,0.7,$0.8,2.2,1.5,"$1,232 ",N/A,6.8,$6.8,51.2,,,,,,,,,,,,,,,
37,"Congo, Dem. Rep.",DemcoraticRepublicCongo,Sub-Saharan Africa,171,44,39.6,-1.5,10.0,0.0,20.0,0.0,71.4,-1.1,60.1,-16.0,38.7,0.0,36.3,-2.7,56.5,5.3,63.0,0.0,20.0,0.0,20.0,0.0,11.0,30.0,40.0,18.9,36.5,Democratic Republic of Congo,72.6,$25.3,6.9,5.8,$348 ,N/A,15.5,"$1,686.9",32.0,,,,,,,,,,,,,,,
38,"Congo, Rep.",RepublicCongo,Sub-Saharan Africa,167,42,43.5,-0.3,10.0,0.0,22.0,1.0,61.4,0.1,80.3,2.3,31.5,-9.1,44.8,-0.9,74.3,3.3,60.7,0.0,20.0,0.0,30.0,0.0,14.7,50.0,36.0,7.9,25.6,Republic of Congo,4.0,$18.3,4.5,4.9,"$4,589 ",N/A,1.9,"$2,930.9",22.2,,,,,,,,,,,,,,,
39,Costa Rica,CostaRica,South and Central America / Caribbean,49,8,67.0,-1.0,50.0,-5.0,48.0,-5.0,82.9,0.1,90.1,-0.7,58.3,0.7,60.4,-2.3,75.4,2.0,85.1,0.0,70.0,0.0,50.0,0.0,2.4,25.0,30.0,13.5,18.2,Costa Rica,4.6,$55.0,4.2,3.7,"$11,927 ",7.7,4.9,"$2,104.1",30.8,,,,,,,,,,,,,,,
40,Cote d'Ivoire,CoeDivoire,Sub-Saharan Africa,126,24,54.1,-0.2,25.0,5.0,22.0,0.0,77.9,-0.2,79.8,-6.8,43.3,0.6,54.6,-1.5,77.8,-3.9,70.3,0.0,40.0,5.0,50.0,0.0,7.3,36.0,25.0,17.0,25.9,Côte d'Ivoire,22.7,$36.1,-4.7,1.0,"$1,590 ",N/A,4.9,$344.2,90.5,,,,,,,,,,,,,,,
41,Croatia,Croatia,Europe,78,35,61.3,0.4,40.0,0.0,40.0,-1.0,75.4,-1.0,48.7,3.7,63.0,-0.4,42.4,-2.0,81.1,-0.3,87.5,0.0,75.0,5.0,60.0,0.0,1.2,40.0,20.0,21.4,41.4,Croatia,4.4,$80.3,0.0,-0.1,"$18,192 ",17.7,2.3,"$1,494.1",45.6,,,,,,,,,,,,,,,
42,Cuba,Cuba,South and Central America / Caribbean,176,29,28.5,0.2,10.0,0.0,42.0,5.0,62.7,1.2,0.0,0.0,10.0,0.0,20.0,0.0,67.4,-3.9,62.7,0.0,0.0,0.0,10.0,0.0,8.7,50.0,30.0,18.2,75.2,Cuba,11.2,$120.3,2.7,N/A,"$10,704 ",N/A,4.7,$110.0,35.4,,,,,,,,,,,,,,,
43,Cyprus,Cyprus,Europe,41,19,69.0,-2.8,70.0,0.0,63.0,0.0,79.8,-3.5,32.7,-4.4,80.7,-0.9,62.8,-7.1,84.1,-1.6,81.8,-0.3,75.0,0.0,60.0,-10.0,1.6,35.0,10.0,26.3,47.4,Cyprus,0.8,$23.7,0.5,1.7,"$29,074 ",5.6,3.5,$276.3,71.8,,,,,,,,,,,,,,,
44,Czech Republic,CzechRepublic,Europe,29,15,70.9,1.0,70.0,0.0,44.0,-2.0,82.0,0.0,43.5,6.7,65.8,-1.9,85.5,7.6,81.7,0.2,86.8,-0.3,70.0,0.0,80.0,0.0,1.6,15.0,19.0,34.9,43.4,Czech Republic,10.5,$285.0,1.7,1.6,"$27,062 ",6.7,1.9,"$5,404.5",41.5,,,,,,,,,,,,,,,
